gene_id	gene_name	SRR3222409_KO	SRR3222410_KO	SRR3222411_KO	SRR3222412_WT	SRR3222413_WT	SRR3222414_WT
ENSMUSG00000024913	Lrp5	8.47491012751598	8.62221530696981	8.56031508137422	8.51532644889627	8.17430421337302	8.14192644484997
ENSMUSG00000024914	Drap1	9.97021013049973	9.89787575839916	9.84346976340454	9.86309234497628	9.75820014595972	9.99966889858226
ENSMUSG00000024921	Smarca2	8.81033294098558	8.74218933261468	8.88644273494202	8.64446252057457	8.76822116348749	8.99706805201911
ENSMUSG00000024922	Ovol1	6.69309390772734	6.98237416409738	6.69309390772734	6.69309390772734	6.82522789473628	6.69309390772734
ENSMUSG00000024924	Vldlr	8.50656761470438	8.55477240028839	8.71153392940981	8.48508149510668	8.54219395853656	8.6006932615958
ENSMUSG00000024925	Rnaseh2c	8.84838677263539	8.87456601830314	8.71153392940981	8.73120580817825	8.74981733323745	8.73061418546826
ENSMUSG00000024926	Kat5	8.38456521912795	8.56053420007218	8.43980284602537	8.57999224614538	8.45543474006071	8.56415150782977
ENSMUSG00000024927	Rela	9.00564448509442	9.05885963569829	9.21284988350662	9.18693803885409	9.09765952505933	9.12823058610264
ENSMUSG00000024935	Slc1a1	7.43442825115944	7.54974855731688	7.38762972207216	7.18992790938474	7.06591762400799	7.07260577057312
ENSMUSG00000024936	Kcnk7	6.83727858405132	6.92942181245522	6.69309390772734	6.81787819900811	6.82522789473628	6.69309390772734
ENSMUSG00000024937	Ehbp1l1	8.39440173296377	8.91441081492041	8.60982864332055	8.29767830169139	8.11816576168573	8.39759200138994
ENSMUSG00000024939	Fam89b	9.25106496535258	9.03518496246097	8.99235730797218	9.00944664375673	8.97867325111811	8.88078831167209
ENSMUSG00000024940	Ltbp3	9.31990820842706	9.33708749779614	9.36806867547173	9.15488601164765	9.04690223120693	9.19389084010354
ENSMUSG00000024941	Scyl1	9.24601204461927	9.12002005732758	9.15011809072156	9.2163131889498	9.11883840713749	9.13542028303981
ENSMUSG00000024942	Capn1	8.65769472433328	8.63852344343035	8.55109707780861	8.62029137193838	8.7248614426533	8.70765870795758
ENSMUSG00000024943	Smc5	8.58860481799122	8.60569272930431	8.70745501301527	8.63846308229387	8.74051567896537	8.52267303951514
ENSMUSG00000024944	Arl2	8.87203687793161	8.62221530696981	8.68270353891882	8.65340854230372	8.73114610427554	8.72409741102489
ENSMUSG00000024947	Men1	8.62565430696525	8.72716664918857	8.54646223109827	8.69434085392493	8.51270825336965	8.567854306981
ENSMUSG00000024948	Map4k2	7.80990545394917	8.0608460472002	8.05269129249979	7.97717541888985	7.94823030312751	8.09305825908048
